"Stkcd","Stknme","Annctime","Type","Suspdate","Resmdate","Timeperd"
"000615","京汉股份","2016-08-26","1","2016-08-26","2016-09-09","40.00"
"000615","京汉股份","2016-09-13","1","2016-09-13","2016-10-13","60.00"
"000615","京汉股份","2017-04-13","1","2017-04-13","2017-04-17","8.00"
"000615","京汉股份","2017-09-12","1","2017-09-12","2017-11-08","144.00"
"000615","京汉股份","2017-12-26","1","2017-12-26","2018-01-10","40.00"
"000615","京汉股份","2018-06-14","1","2018-06-14","2018-06-29","40.00"
"000615","京汉股份","2020-04-07","1","2020-04-07","2020-04-08","4.00"
"000616","海航投资","2018-01-24","1","2018-01-24","2018-07-25","480.00"
"000617","*ST 济柴","2016-12-09","1","2016-12-09","2016-12-16","20.00"
"000617","*ST 济柴","2017-01-13","1","2017-01-13","2017-01-16","4.00"
"000622","*ST 恒立","2016-10-28","1","2016-10-28","2016-12-12","124.00"
"000622","*ST 恒立","2017-05-03","1","2017-05-03","2017-05-04","4.00"
"000622","恒立实业","2018-10-31","1","2018-10-31","2018-11-05","12.00"
"000627","天茂集团","2019-08-13","1","2019-08-13","2019-08-27","40.00"
"000629","*ST 钒钛","2017-04-20","1","2017-04-20","2018-08-24","1288.00"
"000629","*ST 钒钛","2017-05-04","3","2017-05-05","2018-08-24","1328.00"
"000629","攀钢钒钛","2018-08-24","1","2018-08-24","2018-08-24","1.00"
"000633","*ST 合金","2016-10-10","1","2016-10-10","2016-10-31","60.00"
"000633","*ST 合金","2017-05-17","1","2017-05-17","2017-05-18","4.00"
"000633","合金投资","2017-07-05","1","2017-07-05","2017-09-28","244.00"
"000633","合金投资","2018-05-03","1","2018-05-03","2018-05-17","40.00"
"000635","英力特","2017-01-04","1","2017-01-04","2017-02-23","124.00"
"000635","英力特","2017-05-12","1","2017-05-12","2017-05-15","2.00"
"000638","万方发展","2016-08-08","1","2016-08-08","2016-08-15","20.00"
"000638","万方发展","2017-03-03","1","2017-03-03","2017-03-07","8.00"
"000638","万方发展","2017-07-18","1","2017-07-18","2018-01-18","504.00"
"000638","万方发展","2018-02-05","1","2018-02-05","2018-02-12","20.00"
"000639","西王食品","2017-03-29","1","2017-03-29","2017-03-30","2.00"
"000651","格力电器","2016-10-31","1","2016-10-31","2016-11-17","52.00"
"000651","格力电器","2016-11-29","1","2016-11-29","2016-12-01","8.00"
"000651","格力电器","2017-09-18","1","2017-09-18","2017-09-19","4.00"
"000651","格力电器","2019-04-01","1","2019-04-01","2019-04-09","20.00"
"000651","格力电器","2019-12-02","1","2019-12-02","2019-12-03","4.00"
"000652","泰达股份","2017-08-07","1","2017-08-07","2017-08-10","10.00"
"000655","金岭矿业","2016-11-07","1","2016-11-07","2016-11-17","32.00"
"000655","金岭矿业","2018-04-12","1","2018-04-12","2018-04-13","4.00"
"000655","*ST 金岭","2019-04-08","1","2019-04-08","2019-04-09","4.00"
"000656","金科股份","2016-09-27","1","2016-09-27","2016-10-11","20.00"
"000656","金科股份","2017-04-11","1","2017-04-11","2017-04-13","8.00"
"000656","金科股份","2017-05-05","1","2017-05-05","2017-07-05","164.00"
"000656","金科股份","2017-07-19","1","2017-07-19","2017-07-19","2.00"
"000657","中钨高新","2017-02-21","1","2017-02-21","2017-02-28","20.00"
"000659","珠海中富","2016-08-18","1","2016-08-18","2016-11-16","225.27"
"000659","珠海中富","2017-05-02","1","2017-05-02","2017-05-03","4.00"
"000659","*ST 中富","2018-04-24","1","2018-04-24","2018-04-25","4.00"
"000661","长春高新","2019-02-25","1","2019-02-25","2019-03-07","32.00"
"000661","长春高新","2019-09-10","1","2019-09-10","2019-09-11","4.00"
"000666","经纬纺机","2017-01-23","1","2017-01-23","2017-01-24","4.00"
"000666","经纬纺机","2018-03-12","1","2018-03-12","2018-11-12","656.00"
"000667","美好集团","2016-09-27","1","2016-09-27","2016-10-18","40.00"
"000668","荣丰控股","2020-05-25","1","2020-05-25","2020-06-08","40.00"
"000671","阳光城","2016-08-25","1","2016-08-25","2016-09-01","20.00"
"000671","阳光城","2017-01-06","1","2017-01-06","2017-01-23","44.00"
"000672","上峰水泥","2016-12-08","1","2016-12-08","2016-12-12","8.00"
"000672","上峰水泥","2017-04-17","1","2017-04-17","2017-04-26","28.00"
"000676","智度股份","2016-11-17","1","2016-11-17","2017-01-24","188.00"
"000677","恒天海龙","2017-10-09","1","2017-10-09","2017-10-23","40.00"
"000678","襄阳轴承","2017-09-29","1","2017-09-29","2017-10-11","12.00"
"000678","襄阳轴承","2017-12-01","1","2017-12-01","2018-01-15","120.00"
"000678","襄阳轴承","2020-03-31","1","2020-03-31","2020-04-14","36.00"
"000682","东方电子","2016-10-10","1","2016-10-10","2017-08-07","816.00"
"000682","东方电子","2018-01-25","1","2018-01-25","2018-02-02","24.00"
"000688","建新矿业","2017-09-06","1","2017-09-06","2018-02-07","416.00"
"000688","建新矿业","2018-04-11","1","2018-04-11","2018-04-18","20.00"
"000690","宝新能源","2017-01-03","1","2017-01-03","2017-02-27","136.00"
"000691","ST 亚太","2017-04-28","1","2017-04-28","2017-05-02","4.00"
"000691","ST 亚太","2017-11-28","1","2017-11-28","2017-11-29","4.00"
"000693","*ST 华泽","2018-05-02","1","2018-05-02","2019-05-27","1040.00"
"000693","*ST 华泽","2018-07-13","3","2018-07-13","2019-05-27","836.00"
